call_id,person_id,called_number,timestamp,duration,is_known_contact
c_00001,p_001,00781618495,2026-08-18T10:51:41,204,1
c_00002,p_001,0184514627,2026-08-07T09:23:05,82,1
c_00003,p_001,0184514627,2026-08-03T03:11:44,165,1
c_00004,p_001,+915641395376,2026-08-19T13:32:05,93,1
c_00005,p_001,+915641395376,2026-08-23T09:09:35,180,1
c_00006,p_001,0184514627,2026-08-20T01:49:52,128,1
c_00007,p_001,3276483503,2026-08-17T04:55:25,178,1
c_00008,p_001,6532871012,2026-08-23T15:50:32,224,1
c_00009,p_001,0184514627,2026-08-07T09:26:29,113,1
c_00010,p_001,7242388496,2026-08-09T12:20:23,66,1
c_00011,p_001,2691669784,2026-08-25T09:35:00,234,1
c_00012,p_001,6532871012,2026-08-25T13:46:00,234,1
c_00013,p_001,8552414060,2026-08-25T17:34:00,252,0
c_00014,p_001,0184514627,2026-08-25T21:17:00,88,1
c_00015,p_001,00781618495,2026-08-26T01:18:00,100,1
c_00016,p_001,+919333346800,2026-08-26T05:29:00,60,0
c_00017,p_001,7242388496,2026-08-26T09:46:00,188,1
c_00018,p_001,3103413164,2026-08-26T13:48:00,189,1
c_00019,p_001,02290349446,2026-08-26T17:06:00,282,0
c_00020,p_001,7242388496,2026-08-26T21:40:00,275,1
c_00021,p_001,+915641395376,2026-08-27T01:40:00,215,1
c_00022,p_001,05743748969,2026-08-27T05:12:00,99,0
c_00023,p_002,+918227824896,2026-08-19T18:26:41,94,1
c_00024,p_002,+918227824896,2026-08-03T22:52:19,114,1
c_00025,p_002,+918299737631,2026-08-07T02:18:40,138,1
c_00026,p_002,0310518347,2026-08-22T08:45:36,189,1
c_00027,p_002,+911509839301,2026-08-10T04:14:37,254,1
c_00028,p_002,0310518347,2026-08-21T16:35:13,145,1
c_00029,p_002,+918227824896,2026-08-02T11:20:32,147,1
c_00030,p_002,+918346578713,2026-08-14T12:49:08,147,1
c_00031,p_002,+911509839301,2026-08-02T13:12:17,66,1
c_00032,p_002,+918299737631,2026-08-12T19:48:51,139,1
c_00033,p_002,+918227824896,2026-08-13T09:39:25,272,1
c_00034,p_002,+918299737631,2026-08-06T14:08:04,127,1
c_00035,p_002,+911509839301,2026-08-03T04:04:04,246,1
c_00036,p_002,+918227824896,2026-08-25T09:50:00,229,1
c_00037,p_002,+918299737631,2026-08-25T13:45:00,99,1
c_00038,p_002,3875842824,2026-08-25T17:12:00,135,0
c_00039,p_002,+918346578713,2026-08-25T21:13:00,208,1
c_00040,p_002,+918227824896,2026-08-26T01:47:00,75,1
c_00041,p_002,+917248251353,2026-08-26T05:47:00,140,0
c_00042,p_002,+918346578713,2026-08-26T09:03:00,209,1
c_00043,p_002,+918227824896,2026-08-26T13:30:00,295,1
c_00044,p_002,4655494717,2026-08-26T17:33:00,100,0
c_00045,p_002,+918227824896,2026-08-26T21:03:00,80,1
c_00046,p_002,+918346578713,2026-08-27T01:11:00,212,1
c_00047,p_002,+919991738168,2026-08-27T05:04:00,232,0
c_00048,p_003,+912677360260,2026-08-04T00:14:41,191,1
c_00049,p_003,+919805009788,2026-08-22T08:49:05,264,1
c_00050,p_003,+919805009788,2026-08-15T06:52:47,67,1
c_00051,p_003,+910812191361,2026-08-13T08:46:27,208,1
c_00052,p_003,04746872343,2026-08-21T06:14:13,175,1
c_00053,p_003,04746872343,2026-08-04T15:04:34,300,1
c_00054,p_003,04746872343,2026-08-01T04:19:06,83,1
c_00055,p_003,+919805009788,2026-08-22T14:17:21,84,1
c_00056,p_003,04746872343,2026-08-18T01:48:50,137,1
c_00057,p_003,04746872343,2026-08-17T12:07:18,288,1
c_00058,p_003,+919805009788,2026-08-12T05:40:10,77,1
c_00059,p_003,+919805009788,2026-08-15T14:07:30,31,1
c_00060,p_003,04746872343,2026-08-08T16:07:23,112,1
c_00061,p_003,+912677360260,2026-08-25T09:02:00,116,1
c_00062,p_003,+912677360260,2026-08-25T13:12:00,149,1
c_00063,p_003,+910835058300,2026-08-25T17:19:00,270,0
c_00064,p_003,+910812191361,2026-08-25T21:50:00,117,1
c_00065,p_003,+910812191361,2026-08-26T01:01:00,162,1
c_00066,p_003,3354216894,2026-08-26T05:21:00,131,0
c_00067,p_003,04746872343,2026-08-26T09:04:00,149,1
c_00068,p_003,3990916998,2026-08-26T13:41:00,162,1
c_00069,p_003,+911044789856,2026-08-26T17:43:00,275,0
c_00070,p_003,04746872343,2026-08-26T21:34:00,300,1
c_00071,p_003,+919805009788,2026-08-27T01:01:00,284,1
c_00072,p_003,2575326033,2026-08-27T05:16:00,105,0
c_00073,p_004,02940196556,2026-08-22T19:46:43,190,1
c_00074,p_004,04145868501,2026-08-16T06:11:23,289,1
c_00075,p_004,+917868011280,2026-08-08T02:43:30,181,1
c_00076,p_004,+917868011280,2026-08-13T18:02:08,119,1
c_00077,p_004,03375433036,2026-08-15T03:45:51,30,1
c_00078,p_004,02940196556,2026-08-07T23:44:20,194,1
c_00079,p_004,+918244935348,2026-08-11T16:40:24,291,1
c_00080,p_004,09826204505,2026-08-11T21:11:55,73,1
c_00081,p_004,02940196556,2026-08-07T12:39:00,201,1
c_00082,p_004,+918244935348,2026-08-03T03:32:59,188,1
c_00083,p_004,4980841241,2026-08-25T09:35:00,289,1
c_00084,p_004,4980841241,2026-08-25T13:10:00,175,1
c_00085,p_004,8499261891,2026-08-25T17:16:00,252,0
c_00086,p_004,04145868501,2026-08-25T21:15:00,256,1
