person_id,name,phone,bank_account,social_handle,is_suspicious
p_001,Aryan Maharaj,+913218196001,GBGB53GHQT0838637,@aryan_maharaj,1
p_002,Adya Tella,+918148932528,GBGB02YQAT5701543,@adya_tella,1
p_003,Raagini Pandya,06701065133,GBGB43GROE6247317,@raagini_pandya,1
p_004,Advika Jayaraman,5346247510,GBGB92OTSD1838425,@advika_jayaraman,1
p_005,Lekha Gupta,00608835615,GBGB22TKVD4846564,@lekha_gupta,0
p_006,William Maharaj,01434558122,GBGB82HMWE3166587,@william_maharaj,0
p_007,William Date,01937452991,GBGB49YFJD9049663,@william_date,0
p_008,Chaitaly Kant,03495788568,GBGB02KLWO4443135,@chaitaly_kant,0
p_009,Sarthak Kakar,01232812067,GBGB59WTPJ0344713,@sarthak_kakar,0
p_010,Yagnesh Shan,2639821465,GBGB06ZQIA4499727,@yagnesh_shan,0
p_011,Chandani Balakrishnan,+915045562386,GBGB39SVZF2219693,@chandani_balakrishnan,0
p_012,Gunbir Keer,2675869261,GBGB66PTNI0537735,@gunbir_keer,0
p_013,Gavin Chada,+916152809885,GBGB93VDNL6049451,@gavin_chada,0
p_014,Faras Munshi,6966416052,GBGB85ZTOW5161369,@faras_munshi,0
p_015,Turvi Barman,09359782071,GBGB66ZKWC8203778,@turvi_barman,0
p_016,Fiyaz Dyal,07826137506,GBGB72BMQL3615305,@fiyaz_dyal,0
p_017,Diya Mukherjee,6874034505,GBGB17IDZL6676527,@diya_mukherjee,0
p_018,Dipta Mallick,+911027868144,GBGB39WOGT4731217,@dipta_mallick,0
p_019,Hiral Venkataraman,01438424981,GBGB68QUFS9229959,@hiral_venkataraman,0
p_020,Wishi Varma,07470168733,GBGB30SLBB4797480,@wishi_varma,0
p_021,Avi Som,09930972896,GBGB92EVHB9130756,@avi_som,0
p_022,Charles Chaudhry,05712082677,GBGB20UGYJ5401938,@charles_chaudhry,0
p_023,Mason Gala,08713971870,GBGB55OEQN7908740,@mason_gala,0
p_024,Manthan Mital,02873342708,GBGB16NNRQ2634351,@manthan_mital,0
p_025,Rohan Narayan,+916937854777,GBGB32FXZL2287280,@rohan_narayan,0
p_026,Chatresh Chaudhari,03159996504,GBGB10ZOPH5866296,@chatresh_chaudhari,0
p_027,Tanvi Chhabra,+914065965756,GBGB38UTEJ5937526,@tanvi_chhabra,0
p_028,Nidhi Gour,+916609379660,GBGB61WGGI1918255,@nidhi_gour,0
p_029,Samuel Bhargava,5849825449,GBGB68IQVD2604223,@samuel_bhargava,0
p_030,Logan Dasgupta,6565234138,GBGB38TTXT4043898,@logan_dasgupta,0
p_031,Nakul Kumer,+919138000307,GBGB13LMEF0863536,@nakul_kumer,0
p_032,Unnati Murthy,01853747411,GBGB72FZVJ9035213,@unnati_murthy,0
p_033,Ryan Vora,+918065787598,GBGB44KMIF0593040,@ryan_vora,0
p_034,Timothy Chawla,02513552157,GBGB81AIGH1541006,@timothy_chawla,0
p_035,Utkarsh Bhat,08687937416,GBGB60WBQS8992172,@utkarsh_bhat,0
