txn_id,person_id,amount,timestamp,counterparty,type
t_00001,p_001,847.8,2026-08-15T14:30:28,Niharika Sundaram,payment
t_00002,p_001,631.24,2026-08-04T18:11:53,Daksh Varma,payment
t_00003,p_001,1279.99,2026-08-16T17:54:25,Dominic Mukhopadhyay,payment
t_00004,p_001,144.94,2026-08-06T06:26:04,Krishna Viswanathan,withdrawal
t_00005,p_001,192.66,2026-08-10T05:26:34,Oscar Hans,withdrawal
t_00006,p_001,798.92,2026-08-05T21:22:11,Dalbir Krish,withdrawal
t_00007,p_001,295.48,2026-08-04T06:51:54,Tanmayi Bedi,withdrawal
t_00008,p_001,699.81,2026-08-18T04:21:05,Rushil Mahal,withdrawal
t_00009,p_001,1496.26,2026-08-09T07:49:19,Ucchal Tiwari,payment
t_00010,p_001,227.27,2026-08-12T17:15:30,Jatin Balasubramanian,payment
t_00011,p_001,313.98,2026-08-20T19:19:43,Kashish Suresh,payment
t_00012,p_001,691.02,2026-08-19T05:13:40,Peter Som,payment
t_00013,p_001,9525.02,2026-08-26T05:45:00,Offshore Shell Corp,transfer
t_00014,p_001,47442.54,2026-08-10T12:00:00,ATM Cash Deposit,deposit
t_00015,p_001,49644.56,2026-08-11T10:00:00,ATM Cash Deposit,deposit
t_00016,p_001,46197.02,2026-08-12T12:00:00,ATM Cash Deposit,deposit
t_00017,p_001,49389.17,2026-08-13T11:00:00,ATM Cash Deposit,deposit
t_00018,p_001,45428.18,2026-08-14T10:00:00,ATM Cash Deposit,deposit
t_00019,p_002,1120.71,2026-08-11T17:47:51,Abhimanyu Vaidya,payment
t_00020,p_002,1119.5,2026-08-02T09:27:29,Barkha Misra,payment
t_00021,p_002,366.29,2026-08-06T17:15:29,Vasatika Bhatt,withdrawal
t_00022,p_002,356.88,2026-08-04T05:22:50,Aradhana Nair,withdrawal
t_00023,p_002,1392.57,2026-08-06T17:53:35,Advika Misra,withdrawal
t_00024,p_002,1298.35,2026-08-19T14:01:41,Mason Varughese,payment
t_00025,p_002,1499.0,2026-08-02T03:55:29,Dakshesh Raval,payment
